,price,numBathrooms,Status,house_size_SF,n_beds,BHK_RK,building_type
0,22000,1,Furnished,400,1,RK,StudioApartment
1,20000,1,Furnished,400,1,RK,StudioApartment
2,8500,1,Semi-Furnished,500,2,BHK,IndependentFloor
3,48000,3,Furnished,1020,3,BHK,IndependentHouse
4,20000,2,Unfurnished,810,2,BHK,Apartment
5,11000,1,Semi-Furnished,750,3,BHK,Apartment
6,20000,2,Furnished,1300,3,BHK,IndependentFloor
7,35000,2,Furnished,1200,3,BHK,IndependentFloor
8,39000,2,Semi-Furnished,1100,3,BHK,IndependentHouse
9,90000,4,Semi-Furnished,2500,4,BHK,IndependentFloor
10,10000,2,Semi-Furnished,1162,2,BHK,Apartment
11,20000,2,Semi-Furnished,900,3,BHK,IndependentFloor
12,15000,2,Semi-Furnished,750,2,BHK,IndependentFloor
13,24000,1,Semi-Furnished,1100,2,BHK,Apartment
14,35000,2,Furnished,1150,2,BHK,IndependentFloor
15,59000,3,Semi-Furnished,2000,3,BHK,Apartment
16,35000,1,Semi-Furnished,1350,1,BHK,IndependentFloor
17,45000,2,Furnished,1000,2,BHK,Apartment
18,32500,2,Semi-Furnished,1100,3,BHK,IndependentFloor
19,220000,4,Semi-Furnished,2200,4,BHK,IndependentFloor
20,43000,3,Semi-Furnished,1800,3,BHK,IndependentFloor
21,30000,2,Furnished,900,2,BHK,IndependentFloor
22,68000,2,Furnished,1350,3,BHK,IndependentFloor
23,55000,3,Furnished,1850,3,BHK,IndependentFloor
24,40000,1,Semi-Furnished,1500,1,BHK,IndependentFloor
25,40000,2,Semi-Furnished,1300,3,BHK,IndependentFloor
26,60000,3,Furnished,1440,3,BHK,IndependentFloor
27,20000,1,Semi-Furnished,600,1,BHK,IndependentFloor
28,33500,1,Furnished,750,1,BHK,IndependentFloor
29,15500,1,Furnished,300,1,RK,StudioApartment
30,43000,2,Semi-Furnished,1600,3,BHK,Apartment
31,11000,1,Semi-Furnished,2400,2,BHK,IndependentFloor
32,34000,3,Semi-Furnished,2000,3,BHK,IndependentFloor
33,58000,3,Semi-Furnished,2025,3,BHK,IndependentFloor
34,38000,2,Furnished,1500,3,BHK,Apartment
35,60000,3,Furnished,2200,3,BHK,Apartment
36,25000,1,Furnished,600,1,BHK,Apartment
37,18000,1,Furnished,700,1,BHK,Apartment
38,65000,2,Furnished,900,2,BHK,IndependentFloor
39,44000,3,Semi-Furnished,1350,3,BHK,IndependentFloor
40,28500,2,Furnished,1050,3,BHK,IndependentFloor
41,18000,1,Semi-Furnished,450,1,BHK,Apartment
42,1400000,8,Semi-Furnished,7200,8,BHK,IndependentFloor
43,17140,1,Furnished,680,1,BHK,IndependentFloor
44,12000,1,Semi-Furnished,650,2,BHK,IndependentFloor
45,17000,1,Furnished,600,1,BHK,IndependentFloor
46,22000,1,Semi-Furnished,1100,2,BHK,Apartment
47,30000,2,Semi-Furnished,1125,2,BHK,IndependentFloor
48,70000,3,Semi-Furnished,1800,3,BHK,IndependentFloor
49,65000,3,Furnished,2500,3,BHK,IndependentFloor
50,48000,2,Furnished,1250,3,BHK,IndependentHouse
51,20000,1,Semi-Furnished,400,1,RK,StudioApartment
52,14000,1,Unfurnished,800,1,BHK,Apartment
53,25000,2,Semi-Furnished,900,2,BHK,Apartment
54,35000,2,Semi-Furnished,1500,3,BHK,Apartment
